#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-09-30 18:49:20
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/17_Radias+house+-+outside.jpg 200 2777 679 500 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/18_guzelyurt+Hasan+mt.jpg 200 2750 673 485 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/19_Monastery+lake+old+greek+house+and+snow.jpg 200 3330 702 328 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/20_sheep+on+street.jpg 200 3179 670 454 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/21_Radiyas+house+-+annie+in+bed.jpg 200 3095 689 312 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/22_Radiya's+House+and+Hassan+Mt.jpg 200 2729 689 453 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/23_Inge+and+annie+at+lunch.jpg 200 3389 682 453 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/24_baking+bread+1.jpg 200 2714 669 328 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/25_Chilgen+Sekees.jpg 200 3749 667 454 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/26_baking+bread+2.jpg 200 2851 669 312 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/27_Chanuka++candles+first+night.jpg 200 3374 687 469 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/28_New+mosque+interior.jpg 200 2830 674 468 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/29_Ihlara+valley+hike.jpg 200 3070 673 484 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:12 63.195.88.133 GET /turkey/thumbnails/30_rock+houses+at+base+of+cliff.jpg 200 2983 689 438 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
