#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-03-15 04:55:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-03-15 06:25:52 216.58.207.209 GET /turkey/images/16_Kalburlu+Church+interior.jpg 200 49110 366 10125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:25:53 12.228.216.162 GET /ethiopia.htm 200 8050 409 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:25:53 12.228.216.162 GET /images/ethiopia.jpg 200 22058 284 890 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:25:53 12.228.216.162 GET /images/bg_gradient_home.jpg 304 140 379 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:25:54 12.228.216.162 GET /images/map_BG.jpg 304 141 370 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:25:54 12.228.216.162 GET /images/ethiopia1.jpg 200 17914 285 1219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:25:59 216.58.207.209 GET /turkey/pages/17_Radias+house+-+outside.htm 200 2021 495 469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:26:09 216.58.207.209 GET /turkey/images/17_Radias+house+-+outside.jpg 200 42511 366 8703 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:26:09 12.228.216.162 GET /ethiopia/index.htm 200 8326 228 187 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/01Addis+bus+station.jpg 200 2294 318 47 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/03Blue+Nile+Falls.jpg 200 3209 316 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/04Bahar+Dar+Timket+parade.jpg 200 4323 326 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/05Ababa+roasting+coffee+beans.jpg 200 3441 330 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/06sorting+beans+in+courtyard.jpg 200 3629 329 188 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/02roadside+ping+pong.jpg 200 3114 319 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/08B's+injera.jpg 200 2924 311 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/09Annie+spinning.jpg 200 3390 313 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/10Debre+Berhan+Selasie+ceiling.jpg 200 3908 331 234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:10 12.228.216.162 GET /ethiopia/thumbnails/11village+horizontal.jpg 200 1667 317 172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:11 12.228.216.162 GET /ethiopia/thumbnails/12town+from+church.jpg 200 3190 317 157 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:11 12.228.216.162 GET /ethiopia/thumbnails/07jumping+rope+in+courtyard.jpg 200 3345 328 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:11 12.228.216.162 GET /ethiopia/thumbnails/14_7th+graders+at+home.jpg 200 2030 323 172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
2003-03-15 06:26:11 12.228.216.162 GET /ethiopia/thumbnails/15hike+from+home.jpg 200 2137 315 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98;+MSOCD)
