#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-10 06:21:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-10 11:29:58 80.11.67.75 GET /laos/pages/03_Annie+in+whites+at+Wat+Pradhatu+sri+Chom+Tong.htm 304 141 548 47 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:58 80.11.67.75 GET /laos/images/previous.gif 304 140 453 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:58 80.11.67.75 GET /laos/images/home.gif 304 141 450 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:58 80.11.67.75 GET /laos/images/next.gif 304 141 450 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:58 80.11.67.75 GET /laos/images/03_Annie+in+whites+at+Wat+Pradhatu+sri+Chom+Tong.jpg 304 140 509 31 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:30:13 80.11.67.75 GET /laos/pages/02_Bangkok+monk+with+stature+at+palace'.htm 304 141 535 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:30:13 80.11.67.75 GET /laos/images/02_Bangkok+monk+with+stature+at+palace'.jpg 304 141 484 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:30:32 80.11.67.75 GET /laos/pages/07_kids+on+riverbank+with+B.htm 200 1852 431 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:30:37 80.11.67.75 GET /laos/images/07_kids+on+riverbank+with+B.jpg 200 49358 364 3656 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:30:50 80.11.67.75 GET /laos/pages/08_Hmong+family+on+bus+back.htm 200 1803 467 406 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
